n_samples,criterion,time_trad_mean,r2_trad_mean,rmse_trad_mean,mae_trad_mean,n_sv_trad_mean,time_sub_mean,time_sub_std,speedup_mean,speedup_std,r2_sub_mean,r2_sub_std,r2_diff_mean,r2_diff_std,rmse_sub_mean,rmse_sub_std,mae_sub_mean,mae_sub_std,n_sv_sub_mean,n_sv_sub_std
1000,Residual,9.8837,0.8322,2.1215,1.6803,798.0,13.3815,2.1671,0.7519,0.1028,0.7095,0.0183,-0.1228,0.0183,2.7907,0.0897,2.2566,0.077,160.0,50.7395
1000,Spatial,9.8837,0.8322,2.1215,1.6803,798.0,12.5738,0.6877,0.7879,0.042,0.7431,0.0182,-0.0891,0.0182,2.6239,0.0928,2.0836,0.0669,270.6,34.6742
5000,Residual,46.3469,0.9093,1.4927,1.173,1980.0,12.7627,1.2162,3.6591,0.3641,0.7813,0.0243,-0.128,0.0243,2.3153,0.1279,1.7595,0.1088,472.4,98.241
5000,Spatial,46.3469,0.9093,1.4927,1.173,1980.0,12.5208,0.4664,3.7058,0.1396,0.8017,0.0117,-0.1077,0.0117,2.207,0.0654,1.6782,0.0524,570.0,76.7333
10000,Residual,198.5027,0.9303,1.316,1.0453,7810.0,14.8179,1.2138,13.4708,1.1407,0.8327,0.0341,-0.0976,0.0341,2.031,0.1976,1.5404,0.1501,1010.8,143.7487
10000,Spatial,198.5027,0.9303,1.316,1.0453,7810.0,15.5077,1.238,12.8625,0.9763,0.8372,0.0111,-0.0931,0.0111,2.0103,0.0682,1.5042,0.0472,1067.4,155.5211
15000,Residual,533.8407,0.9382,1.2342,0.9829,11616.0,17.6069,1.819,30.5863,3.2362,0.8564,0.0213,-0.0818,0.0213,1.8775,0.1347,1.4383,0.0963,1196.8,327.7723
15000,Spatial,533.8407,0.9382,1.2342,0.9829,11616.0,18.8113,1.2906,28.4854,1.9462,0.8683,0.0047,-0.0699,0.0047,1.8018,0.0321,1.3756,0.0242,1622.0,194.1996
20000,Residual,1357.41,0.9426,1.1815,0.9445,15886.0,18.3747,1.9443,74.4897,7.2958,0.8045,0.0755,-0.1381,0.0755,2.1483,0.4137,1.638,0.3292,1657.8,292.2288
20000,Spatial,1357.41,0.9426,1.1815,0.9445,15886.0,24.0758,3.8147,57.4116,8.199,0.854,0.0345,-0.0886,0.0345,1.8742,0.2112,1.4265,0.1404,2246.2,303.7058
30000,Residual,4824.3985,0.9493,1.1369,0.9053,23778.0,34.3355,6.6586,144.5494,26.2939,0.8934,0.0108,-0.0559,0.0108,1.6466,0.0819,1.2872,0.0617,2653.4,549.0895
30000,Spatial,4824.3985,0.9493,1.1369,0.9053,23778.0,40.5878,8.9972,124.0225,29.3686,0.8856,0.0363,-0.0637,0.0363,1.693,0.2507,1.2958,0.1539,3220.8,476.3179
40000,Residual,10522.7084,0.9507,1.1169,0.8863,31769.0,56.2142,9.1223,190.8892,28.7849,0.9074,0.0068,-0.0433,0.0068,1.5297,0.0558,1.1952,0.0383,3760.6,192.3949
40000,Spatial,10522.7084,0.9507,1.1169,0.8863,31769.0,66.5365,17.0959,169.3588,55.822,0.9081,0.0128,-0.0426,0.0128,1.5217,0.1074,1.1914,0.0818,3821.0,1063.3525
45000,Residual,16324.7604,0.9507,1.1153,0.8893,35719.0,60.2802,8.7933,275.4174,39.664,0.8999,0.0152,-0.0508,0.0152,1.5854,0.1195,1.2433,0.0916,4259.4,960.3722
45000,Spatial,16324.7604,0.9507,1.1153,0.8893,35719.0,78.7528,29.2536,241.4228,117.7315,0.9107,0.0142,-0.04,0.0142,1.4969,0.1174,1.1813,0.0971,3646.0,2137.7269
50000,Residual,51917.9396,0.9488,1.1365,0.906,35808.0,173.3086,74.2321,340.0527,120.8096,0.922,0.0063,-0.0268,0.0063,1.4015,0.057,1.1082,0.0433,5386.6,472.0628
50000,Spatial,51917.9396,0.9488,1.1365,0.906,35808.0,186.9068,30.0027,284.4054,51.921,0.9245,0.0033,-0.0243,0.0033,1.3795,0.0296,1.0899,0.0176,5832.2,251.5178
